Judet,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
 Alba,1.3870093530255725,-0.5040459994422086,-1.1003263031754134,1.3845671508319242,0.5801769048623905,-1.9875830112849728,0.6850897780652832,0.00336768559119414,-1.748537612097484,0.17805053853934955,-0.17040413156515039,-0.3318300278740421,-0.31040006344332116,0.12254279815396567,-0.07749419805564725,-0.13499202344896963,0.1868674053652974
 Arad,-0.44654080278153796,1.2227321836720424,-1.1406569385111496,0.18179820682854714,-1.5625965903250432,-0.2351731088566465,0.6298015858655737,0.7126523503617181,0.5523083187809934,0.6180861943919619,-0.5877310963648896,-0.3520094168622247,-0.37770344240053455,-0.17561676475125843,-0.32491178494503886,-0.23350098431369296,-0.01539814592897169
 Arges,-0.3729711575336471,2.8289355547189676,-0.45019892795732563,1.6317063707216741,0.1885990393915583,0.014050975164717408,1.6554755396022034,0.3812136664045065,0.5968098317230995,0.40805234798375184,0.780486116234573,0.1654514965160172,0.1781632323538379,-0.7274717119891345,-0.24010907547535182,-0.06790941518622254,0.086145586945151
 Bacau,-1.6306954606636774,-1.8992478964648092,-1.5214716499908054,-1.5499357433920864,1.723894907447822,1.3172471210069214,-0.4425339475349365,1.4966044571166468,-0.3622717789649702,-0.18981418156526048,1.0832156540019469,-1.3394327508569612,0.41642144123883534,0.33264605668302955,-0.2693176626840397,0.3478847783056655,0.07188314374133814
 Bihor,1.2387432652079737,-1.1329452209326407,-0.18033363224887763,3.082856767182409,-3.074902530643838,1.658492182548064,-1.2147975396480049,0.6708858050990947,-0.6706273560048175,0.17399570230383735,0.8182864808281731,-0.060007778498121445,-0.4364000253826437,0.037163203862484125,-0.2971476583206088,0.0410958527091465,-0.01963465483650521
 Bistrita-Nasaud,2.371410575666947,-2.1291859041257855,-1.5040192498667941,3.3562465457793027,1.3504272534237054,-1.4905513749168962,1.95447410441827,-0.2440465413725284,-0.035748660558170914,-0.31888601144000284,0.4156860801172207,-0.13831173299819607,-0.1330916693188216,0.4762590933296929,-0.3412965832176187,-0.14783622764360835,-0.08464774577883023
 Botosani,-2.1947086836172502,2.2381310880535628,-0.5949136003328868,0.6352103165199848,0.9539411862513065,-1.3042626399600563,-1.0568609513202771,0.7503644490618449,0.4238473293012145,0.6432690612022006,-0.36263524510407064,0.9371774765259889,0.05550528368019952,0.3083603535276475,0.23988457861104281,-0.40818942936669916,-0.035221878614008474
 Braila,-3.1794045338176335,-0.5952688437828859,-1.5335866779573424,0.04152010385149035,-2.4346456448240574,-0.10320085762189854,1.0723387764419028,-1.0278197853545468,-1.1110523287126095,-0.6456958173061506,0.29663516682273866,0.22617300409483398,0.6722021099537503,0.49492376012785466,-0.2925578027582868,-0.04484728520182658,-0.0339048844844609
 Brasov,2.12958586881579,1.1533492282446598,-0.5136283656948639,0.33752400257370196,-1.6465280929033532,0.5469409638138272,-1.7892053457606303,1.0418319217875207,-0.8525671006807175,-0.3916541007348859,-0.13555296398490368,-0.43067858162386585,-0.25966638787364255,-0.3923638742920378,0.019595100653521835,0.18652445229855324,0.02548505420870438
 Buzau,-2.284936762107953,1.7064971893161744,1.8653260654753367,-0.5837391167777403,-0.6922120082697838,0.8400404474810288,-0.913955122558911,-1.4378491287352722,-1.4045926463508465,-0.6060100488250827,0.10335347012455831,0.20058522735673617,-0.5694079238439221,0.09908844525425593,-0.23642477449788368,0.21187072231764884,0.07058190248152676
