,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
BoliInfectioase,0.03160551810815723,0.2056308518092302,0.3009357540537101,0.3593327805705371,0.41342632752034136,0.49225023774092924,0.6952552001804659,0.7122880907006726,0.9247640669750916,0.9331407071459702,0.9594399638221621,0.9795964148927792,0.9815952331749302,0.9948214561502465,0.9999471586981955,0.9999998192663807,1.0000000000000007
Tuberculoza,0.11471639170983812,0.3859915190685217,0.3891421619620709,0.45640551541295116,0.4590452744487499,0.4845286928549125,0.7124244603525819,0.7714403747606446,0.9404480649822159,0.9410229218796314,0.948717811394106,0.9540732519927893,0.9602573303823079,0.9935766388546747,0.9957977291675668,0.9999999956683859,0.9999999999999999
Tumori,0.42997882319518066,0.44709232561520634,0.4473304644063088,0.47421084420326864,0.5769678007717777,0.6352924693776176,0.7073473977136864,0.7209247236514127,0.7336007686657473,0.9214444833454705,0.9217643479669141,0.9426239800075755,0.9665817585432258,0.9951554333888685,0.9979218445859885,0.9999999332964579,1.0000000000000009
BoliEndocrine,0.21820360044049714,0.799745348784396,0.8373848014888055,0.8450981297044019,0.8471332252282888,0.9022148803776241,0.9254101640921283,0.993801127552803,0.9973345461744961,0.9974173444221314,0.9974464079440838,0.9983468212456998,0.9984411708195426,0.998494391527591,0.998587789452702,0.998591607020937,0.9999999999999997
Diabet,0.21755285096784244,0.8008996258867089,0.8266595160464065,0.8338049979294674,0.8338216540808523,0.8987947142529146,0.9248086779356398,0.9884736151800048,0.9935494839890082,0.9935505099809234,0.99431195211386,0.997454191005877,0.9974731277049966,0.9974827005723396,0.9985601027166314,0.9986285310523586,0.9999999999999999
TulbMentale,0.08884576605247889,0.12968418360537454,0.15184016068458692,0.1958479044106078,0.4700942051161418,0.8026233870000399,0.8043892167613585,0.8069180626560005,0.8103007528113971,0.8968727407144794,0.9637734764740835,0.9735415703244373,0.9947595745229976,0.9950129714377607,0.9967457907102412,0.9999966679836287,0.9999999999999998
SistNervORL,0.04825420302237222,0.15255224108613968,0.32473992688216413,0.49154190586691954,0.5370364355616828,0.5809625669434074,0.7072013175058491,0.8802928294801446,0.8809372329723919,0.9047878306555012,0.9063792718142406,0.9772751445452005,0.9836381776817565,0.9909301382629965,0.999139576857614,0.9999999779560798,1.0000000000000009
ApCirculator,0.5173114274434062,0.5696131269635168,0.8448221650130895,0.8581677256716153,0.8594069358161792,0.8594263339656804,0.8898727329711414,0.8917930537203047,0.9162299385271431,0.9168103002077791,0.9432942012146764,0.9489412928018031,0.9499293227043062,0.9530315409071577,0.9538913292182983,0.9999995804532792,1.0000000000000007
BoalaIschemica,0.03814919082303955,0.25464794837157745,0.2875968307839667,0.5627666701794745,0.6546370951769074,0.7962531315889667,0.799858387002155,0.8000394357697803,0.8369818271983456,0.8670202115977407,0.9194773387284813,0.9327755907611919,0.9409764105066222,0.9986178475172697,0.9986197553270303,0.9999994935286516,0.999999999999999
BoliCerebroVasculare,0.28759218932974884,0.2983078874709042,0.7890858731543196,0.7894097279353772,0.8060023070518273,0.806071533302067,0.8203226731623555,0.8231266242520514,0.8902266371338801,0.9073255668652095,0.9146056551664132,0.9250255110718894,0.945791906521662,0.9477927185842304,0.979349362981825,0.9999999746968267,0.9999999999999992
BRespiratorii,0.3736931872168725,0.3738396020318021,0.5078494583491854,0.5440151436116896,0.6388397247204664,0.6417443648815281,0.6417963003155407,0.6894603606997585,0.7205521261442641,0.8819492908475435,0.9411486664084595,0.9469957823329935,0.9836852620033821,0.9892378383841257,0.9973503541851115,0.9999999717943846,0.9999999999999994
BDigestive,0.6052768852500549,0.616388979731798,0.6185126704445973,0.6666843823671225,0.6914721995647538,0.7386383215179946,0.8079270464178654,0.8199428951433942,0.8302246078644981,0.8450666802844218,0.8680011858641697,0.8729072120234609,0.9034981870858412,0.95573259340187,0.9999849317800604,0.999996884681863,0.9999999999999989
BGenitoUrinar,3.0681255012225597e-05,0.003206739992075628,0.008243183891702229,0.058718839458312376,0.45121439974350425,0.6944812224578203,0.7062362089906254,0.8488709185153042,0.9420746233390336,0.9460806597428019,0.9764188690577338,0.9848370026141653,0.9993410953335314,0.9995479139019754,0.9999300788252008,0.9999999931149642,1.0000000000000004
SarcinaNastere,0.06001538164653833,0.06685266860778362,0.06854251969837598,0.5686167463464765,0.5950397130480518,0.6492754919880829,0.759278196679555,0.8386413029075233,0.8425018579308929,0.8591666799479253,0.9023004925252515,0.9723735003802034,0.9999441432268471,0.9999455815048082,0.9999548871740035,0.9999984371507755,1.0000000000000004
MalfCongenitale,0.013439205124734071,0.042131453221836784,0.38414927301082935,0.6532509704143004,0.7780515591574847,0.7974446695746152,0.8067649247697333,0.8067721760754453,0.8351574208436042,0.8385425117448919,0.8464168070324534,0.9514939573180385,0.9582498495010922,0.9979746249616073,0.999724324908128,0.9999977072926739,0.9999999999999997
Accidente,0.5249939752202805,0.6006595041892467,0.624752774077119,0.6266390510391402,0.681518845016179,0.686885728937292,0.7619586081024423,0.7752579929184709,0.7822500117520805,0.7822533497315552,0.8869530085294317,0.8910969868739406,0.9561672526693348,0.9576103588791572,0.9993285235940772,0.9999975561968666,1.0
AlteCauze,0.005164822579397137,0.1940059822017911,0.6819143611364723,0.7108255065921495,0.7108280048558524,0.7445639157213823,0.750425193717369,0.8301317238590077,0.8315212958564677,0.8372553879585224,0.8985226381261703,0.9172914962851081,0.9658886804578918,0.965898625666283,0.9971998126662994,0.9999998997827155,0.9999999999999999
