Judet,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
 Alba,0.012813117592149757,0.002556219514190498,0.013393700955438037,0.028494496847652078,0.006121614303001751,0.07793350932038084,0.011066226313893418,3.475757332707321e-07,0.10245869905519238,0.0013453467830042735,0.0013314411299173705,0.006941619986291981,0.007178438311100882,0.001461470806208865,0.0007892286684404747,0.005094090086797858,0.2975748529664407
 Arad,0.0013280619383219923,0.015042516224447775,0.014393542736253264,0.0004912608279054655,0.044405711605189,0.0010910609229232446,0.009352163097620636,0.015564737967022946,0.010222616037547046,0.01621234167569214,0.01583868300911688,0.007811564648566344,0.010628898404368042,0.003001556365435274,0.013873799176296017,0.015241504474387336,0.0020205331446401472
 Arges,0.0009265023589079578,0.08052002659670564,0.0022421595915966593,0.039574639159548265,0.000646880473930311,3.894813020125869e-06,0.0646174936557583,0.004453723930678722,0.011936330021074948,0.007066094215013739,0.027931360621647052,0.0017257221256262057,0.002364953121844549,0.051504690216558145,0.00757672678193351,0.001289170584714449,0.06324048405180184
 Bacau,0.017710945926157688,0.03629285301002702,0.025608570557157435,0.03570757300643717,0.05404638652358982,0.03423010228880505,0.004617402736011754,0.06864366112967632,0.004398128230150102,0.001528991160978065,0.0538011530206243,0.11310226321438999,0.012919703165301957,0.010769097720734514,0.009532222020179476,0.03383150047790404,0.044033503508127805
 Bihor,0.01022018236447006,0.012914441377039634,0.00035975850426684877,0.14126664796217536,0.17195222398136836,0.054262592401056936,0.03479464258328983,0.01379378892543415,0.015071671160820808,0.0012847679794699986,0.030702410944070987,0.0002270097793574877,0.014189134459891813,0.00013441286999070026,0.01160403686967175,0.00047211347800374306,0.0032853047291325475
 Bistrita-Nasaud,0.03745497721766558,0.04561261447482309,0.02502444175524743,0.16743284526752167,0.03316557089684178,0.04382960732725169,0.09006673380910073,0.0018252892016816743,4.2827076398879886e-05,0.004315375567225697,0.007923055380307367,0.0012060005716027229,0.001319739193223624,0.022075020752182144,0.015308349071340084,0.006109591181465749,0.06106043737558659
 Botosani,0.03208114029851024,0.050399803249019576,0.003915303235925574,0.005997469266378005,0.016549630010922054,0.03355859650646466,0.02633542166193862,0.017255631974375848,0.006020295127565164,0.01756034278941575,0.00602978394753068,0.05536982524856212,0.00022953822718772086,0.009254045460268335,0.007562565249519439,0.04657725759976849,0.010571926831964739
 Braila,0.06732674384226484,0.0035652017104695257,0.02601802117967856,2.5624170037072656e-05,0.10779946593909048,0.00021010688962748032,0.027112439358151053,0.03237578573170816,0.04136832224665066,0.017693086782021625,0.00403466054088851,0.0032248610049108034,0.033665580891661585,0.02383917195976398,0.011248324764859735,0.0005622412735426646,0.009796110036932409
 Brasov,0.030205521983315695,0.013383800684137167,0.0029184725216929138,0.0016933326036499227,0.049304139036309154,0.005901393636689104,0.07547879298319818,0.033264552880295124,0.024358807287766026,0.006509580733164091,0.0008425191182873861,0.011693271030227182,0.005023632289342611,0.014982786369871416,5.046142063926367e-05,0.009725724282152827,0.0055347784343194335
 Buzau,0.03477317952064985,0.029300090128182722,0.03849170301824984,0.005064896075432571,0.008714116212996932,0.013921116760601182,0.019694924261989277,0.06335968468807086,0.06611494798478144,0.015585018162636407,0.0004897921875809227,0.002536456145716057,0.024156465101423316,0.000955565776549855,0.00734599185876421,0.01254851404256549,0.04245372840392088
 Calarasi,0.032253404485515655,0.15954744308639573,0.003420697959841136,0.0011558927307331102,1.6768219448397268e-06,0.00033302189351760476,0.041955528081533654,0.00040380628204283005,0.054200140502716466,0.01672749458071607,0.008070548774497394,0.058912853927042035,0.015461304633663717,0.000536667137857244,0.09057833483177277,0.030447614943687057,0.06020578349941181
 Caras-Severin,0.005140024024633054,0.048017109612643265,0.000739351318423293,0.02685960232228322,2.0075493964209102e-05,0.00024427704458812485,0.21588886621584014,0.11103545596438386,0.08349675716998858,0.007997655241610207,0.012043239609092808,0.13618365077053884,0.0008051299048621812,0.0017210062724255803,0.0062852437238476,0.0011351370363217228,0.003303889479613954
 Cluj,0.04542697805181308,0.00042893470624054446,0.0011645403308687343,0.006120562894797225,0.0012068795627987706,0.0038557197895597766,0.01781026518805142,0.009721159567387193,2.820553977182401e-05,0.019109962841025733,0.012110050115599973,0.001648161000404197,0.11172342477517376,0.05371684552440801,0.06270878458779688,0.017864500760438266,0.01941998841107416
 Constanta,0.006491345494035157,0.004490308299962413,0.0002644597458495084,0.019764234858167137,0.0006663491450458435,0.001174019617489536,5.08591185979853e-07,0.0006458240509884467,0.01775479809875247,0.023710295010003372,0.012815493558555376,0.05282054435357352,0.006967296040776338,0.059910716405671284,0.035193319395162244,0.02558690483049193,0.0024543676014223866
 Covasna,0.0030679849960395895,2.7902527122225373e-05,0.000294811642816465,0.017831193561351162,0.0016974839724763003,0.004345191291103252,0.006992659447457023,0.00589781108239787,0.012393247380950633,0.06949185575279235,0.005178899379701263,1.4428824680114724e-05,0.059972693674542166,0.038913490075615856,0.0750505483823454,0.0007620750481379006,0.0026650938960338217
 Dambovita,0.0013045732921145058,0.13781033840113815,0.0071693220087118105,0.0022941643167508235,0.0004142402139854063,0.04964869638127296,0.0030604007307807155,0.10012479353708008,0.019630000149108578,0.008760812498203905,0.0005565578438961958,0.006072027107005571,0.03859474467999322,0.0015356792353702355,0.0027738014487231843,0.006751782594793034,0.0027023456296341184
