,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
BoliInfectioase,0.1777794085606014,-0.4171634376369446,-0.3087149206703167,-0.24165476721311957,0.2325801946636993,-0.28075596203925546,0.4505607200361975,0.1305101165435331,-0.4609511647391934,-0.09152398686070533,0.16217045562059684,0.14197341677446865,-0.0447081455906088,0.11500531716106123,-0.07159401195595187,0.007256760171396241,-0.00042512776890366754
Tuberculoza,-0.3386980834162457,-0.5208407888776412,0.05613058786035653,-0.25935179477088693,-0.0513785853814476,0.15963526679954726,0.47738429749801087,0.2429319131116017,0.4111054490292864,-0.023976173535732424,0.0877205193468129,-0.07318087590814448,-0.07863891142124636,-0.18253577313054778,-0.04712844483846359,0.0648248910590611,6.581499812680011e-05
Tumori,-0.655727705069094,-0.13081858591203951,0.01543174621040832,-0.16395237051338976,-0.32055725942257035,-0.24150500741359374,-0.2684304906974406,-0.11652178310395993,-0.11258794346791583,-0.4334094076963756,0.01788475947402195,0.14442863995988262,0.15478300467315603,-0.16903749538384277,-0.05259668427876485,0.045586058290548945,0.0002582702906532142
BoliEndocrine,-0.46712268242989136,0.7625888461968866,-0.19400889851862343,0.0878255555951482,0.045112033027640816,-0.23469481278744805,0.15229997936475317,0.2615166600059636,0.0594425657394858,-0.009099354242759003,0.005391059446198968,0.030006887569623834,0.009713370879501497,0.007295252432124381,0.00966426019470832,0.0019538598299138742,0.03752856217686313
Diabet,-0.4664256113978331,0.7637714153585917,-0.16049887899825838,0.08453095221905917,0.004081194847705813,-0.2548981368548273,0.16128844869588518,0.25231911787330935,0.07124513182669706,0.0010129125901106666,0.02759424093785841,0.056055676715359375,0.004351631776667929,-0.0030940050651096086,0.032823804537132184,-0.008272142148632618,-0.03703334912806742
TulbMentale,-0.2980700690315599,0.20208517400565446,-0.14884883969723234,0.2097802272046173,0.5236853069406607,0.576653433080822,0.04202177722703584,-0.05028763162689213,-0.058160898853066086,-0.29423118105170687,-0.25865176542912693,0.09883366759537873,-0.1456640113362262,0.01591844573955198,-0.04162714586036904,0.0570164649323999,-0.0018253811577356458
SistNervORL,-0.2196683933167724,0.3229520677496391,-0.4149550406923917,-0.40841397990856704,-0.21329446709833633,0.20958561826071134,0.3553009295828561,-0.4160426804719626,-0.025385103747026152,-0.15443638717319588,0.03989287102653081,-0.26626278885897653,0.07976862250632163,0.08539297735317561,0.09060595231339676,-0.029332594472118702,-0.00014847195423191065
ApCirculator,-0.7192436495676595,-0.22869564823168512,0.5246036961836741,0.11552298757617793,0.035202416743229346,0.004404333037034515,0.174488965282797,0.043821464479901505,-0.15632301432239085,-0.024090696972815677,-0.16273875078449304,-0.07514713292685607,-0.031432942950083136,-0.055697560115785555,-0.029322147110001792,-0.2147283195924117,0.0006477242634786947
BoalaIschemica,-0.19531817842443533,-0.46529426984279304,-0.1815182701889517,0.5245663345998366,-0.3031013444335623,-0.376319061983391,0.06004377913812757,0.01345543635952844,0.192204035932041,-0.17331585155257742,-0.22903520936908503,-0.11531804729837677,-0.09055837755520095,0.24008631158532853,-0.0013812348680091052,0.03714482738715232,-0.0007116680036706844
BoliCerebroVasculare,-0.5362762248410318,-0.10351665634648057,0.7005554836580864,0.017995965688388845,0.12881218543464784,-0.00832023138138254,0.11937813811702894,0.05295234734830781,-0.2590367018046451,0.1307628759676438,-0.08532343348227238,-0.10207769543576171,0.14410550110864134,0.044730437764104784,0.17764189933006944,0.14370320704494302,-0.00015906970985421034
