Judet,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
 Alba,0.14291832845478875,0.0188742408680655,0.08994398774803378,0.1424154794015941,0.025006333704728243,0.29348080442062713,0.034867766108705775,8.425432941121445e-07,0.22713240850490027,0.0023551345954125123,0.002157194922828343,0.008180135843813944,0.007157687797697323,0.0011155903129189861,0.0004461362633810267,0.0013537714883250888,0.002594157020885016
 Arad,0.025175325716071187,0.1887623986748391,0.16427175376797187,0.004172842480641823,0.3082808481417648,0.006982776170666428,0.05007953644786159,0.06412217486313598,0.038513764420781416,0.04823373433938358,0.04361241534652774,0.015644488344191524,0.018011699242399787,0.0038938995591912915,0.013328575259107085,0.006883831508584789,2.9935716879956124e-05
 Arges,0.008849818275539944,0.509131495766747,0.012894151511727604,0.16938224096905125,0.0022628866943162802,1.2560206753434179e-05,0.17435298718626996,0.009245295127398977,0.02265978547878033,0.01059291819539401,0.03875379342936433,0.0017415071245578085,0.0020193891697941877,0.03366790372515429,0.0036677608213755842,0.0002933890068622713,0.00047211731091269146
 Bacau,0.12229661654144852,0.1658945144313712,0.10646244756559495,0.11048316449610528,0.13667538027539095,0.07980006288194087,0.00900662127161395,0.10301080618046514,0.006035840084982757,0.0016570134395740967,0.05396330901034888,0.08251075195865391,0.007975076971152394,0.005089012018285295,0.003335787607342947,0.005565953460884026,0.00023764180484474716
 Bihor,0.05495725513452766,0.04597060765788001,0.0011647048432311775,0.34038398287724414,0.33862976460172434,0.09851203225458909,0.05285307116911287,0.01611979917160691,0.016107381722944222,0.0010842750478186976,0.023981324909360516,0.0001289666799274267,0.006820747228945947,4.946394110029808e-05,0.003162328959405099,6.0486494162571875e-05,1.3807306419201124e-05
 Bistrita-Nasaud,0.17414079099089802,0.14038288806786128,0.07004768674813737,0.3488146528324128,0.05647150942723239,0.06879880694151723,0.11828967796768132,0.001844303211757029,3.957369082406761e-05,0.003148893301734992,0.0053507907989564585,0.0005923863652502712,0.0005485153083864527,0.007023823177824568,0.0036070394244607,0.0006767819264011369,0.00022187981866387377
 Botosani,0.2866886205701429,0.2981451372766295,0.02106514660219607,0.024015507951413398,0.05416264822857285,0.10124808076554233,0.06648021188741894,0.03351206506345853,0.010692409743108686,0.024628730075002846,0.007827024877829216,0.05227576248265906,0.00018336875835481807,0.005659443920363305,0.0034250061056477895,0.009916997385909143,7.38383057507482e-05
 Braila,0.42947559966668847,0.015054738662298391,0.0999225643155287,7.324260436606579e-05,0.251836361564878,0.0004524947337407031,0.048855215986434886,0.04488289517974709,0.052446431563127054,0.017713438043692277,0.0037384552737052923,0.0021733438840378697,0.019197587645392037,0.010406951339191768,0.0036363885995738298,8.545141001137926e-05,4.883952758621713e-05
 Brasov,0.30475445289238545,0.08938844987985041,0.017727918545354476,0.007655420881803901,0.1821788840169941,0.0201020639649585,0.21511966927177575,0.07293820439549809,0.04884463707410575,0.010307779116268736,0.0012347464433576853,0.012464254142607859,0.004530970354919935,0.01034517343131832,2.5802081616886018e-05,0.002337928871688567,4.364463549552713e-05
 Buzau,0.2766547264041247,0.15431241878091795,0.18437381497886712,0.018056239947957277,0.0253903087574014,0.037392983619353795,0.04426285946373403,0.10955100379253521,0.10454192789284632,0.01946029302548922,0.0005660305212153197,0.002132002031642107,0.017180537113161233,0.0005202783477923238,0.002961936141552139,0.002378655886876848,0.00026398329453304067
