,Varianta,Varianta cumulata,Varianta procentuala,Varianta procentuala cumulata
C1,3.5748240993854536,3.5748240993854536,21.02837705520856,21.02837705520856
C2,2.3664258892524592,5.941249988637913,13.920152289720354,34.94852934492891
C3,2.1522519064457972,8.09350189508371,12.660305332034106,47.60883467696302
C4,1.6018349466301023,9.695336841713813,9.422558509588841,57.03139318655187
C5,1.3091988651652289,11.004535706879041,7.701169795089585,64.73256298164145
C6,1.2069159556038316,12.211451662482872,7.099505621199013,71.83206860284047
C7,1.009825044187615,13.221276706670487,5.94014731875068,77.77221592159114
C8,0.776898601172228,13.998175307842715,4.569991771601343,82.34220769319246
C9,0.7104799553178334,14.708655263160548,4.179293854810787,86.52150154800326
C10,0.5610519139119399,15.269707177072487,3.3003053759525884,89.82180692395585
C11,0.5192649171101924,15.788972094182679,3.0544995124128977,92.87630643636874
C12,0.37767761229446206,16.16664970647714,2.2216330134968367,95.09793944986558
C13,0.3195687763631147,16.486218482840258,1.8798163315477343,96.97775578141332
C14,0.24464489106269394,16.730863373902952,1.4390875944864354,98.41684337589976
C15,0.18116997894601136,16.912033352848965,1.0657057585059497,99.48254913440573
C16,0.0851726780882558,16.99720603093722,0.5010157534603285,99.98356488786604
C17,0.0027939690627702095,16.999999999999993,0.016435112133942418,100.0
