,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31
RN,0.3630125295286709,-0.3339843712384398,0.020940641965567757,-0.5679992712923503,0.16314591237951656,0.39950735148337024,0.17271712614652024,0.0864111825849531,0.12383675782792922,-0.026341901527795128,0.09955881370783745,-0.113577269692403,-0.15730537644445303,0.18352302659178737,0.04078949993493172,-0.19961571434982442,0.11122483009185945,0.15192252175977966,-0.04455020369478468,0.07380924229382559,-0.03457361535610206,0.010120770189790905,0.04517292784907359,0.045863041822256624,-0.012618493514094494,-0.05014441671333814,-0.012465111795935827,0.02946823733460388,0.0026526038275553336,-0.004685222522552876,0.0
RM,-0.5536598402038952,0.07695932573562489,-0.11467261010109289,0.6067176358545637,-0.03830479477596377,0.02582954160792946,0.10338994463208474,-0.019407498106355496,0.11288716776277559,0.09924777375590862,-0.1347190720853335,-0.08128210909847274,-0.007169986869661248,-0.010895304634279084,0.08833979692876671,0.09882475460726799,0.2122007156601835,0.0448705168336519,-0.07806712537192527,0.0078111659053123296,0.12500331356800518,0.11993448085956546,0.024581265510787743,0.10223084064400222,0.016743755006649225,-0.0017385107902201063,0.02207235374288334,0.01264432431677482,0.006934705509017817,-0.0033228647507671017,0.0
RMI,-0.2679197544535839,0.42279046629389727,-0.091468848915092,-0.2623325853448323,0.07479288201301258,0.18420765829974553,0.3866854199624345,0.01856341893427191,0.3960577317835193,-0.23025377678795977,-0.18343538648883878,0.21738280758439824,0.21202148131200357,0.09238151950437445,0.20083622324099737,0.054315224225459376,0.038373508893387046,-0.01017523683052041,0.09564596002006322,0.012699285345305194,0.03327193540159709,0.01721906319798306,0.009762514644257196,-0.055764552462273936,-0.0546159960719456,0.010165019442016077,0.007116493658665749,-0.0059245577267896254,-0.00596876666950597,0.010505879066753565,0.0
Emigranti,0.340903306908465,-0.003588784518025341,0.6701846047011215,-0.11525564201540883,-0.06560173298559502,-0.4160470674520803,-0.0365010497570162,0.08303781530738354,-0.12871105690216045,-0.3066105317307044,0.08451095932018696,0.041558392572738106,0.13893153298594413,0.020159226383989752,0.0963731782671323,0.0709997415307739,0.05180198890694624,-0.08717887256530105,-0.1835954017577879,0.029125626638006875,0.015295225785969766,-0.014517608304553625,0.013628606433075752,-0.022750857188767463,-0.026443570628426075,-0.0836114776543014,0.039319451282027046,0.026538117718612156,0.01432515258044844,-0.004952571954518039,0.0
Imigranti,0.12945137217441993,-0.2454238861257597,0.8132899137350172,-0.18597414539968699,0.0033785787829386845,-0.22855442227739128,-0.0840763797281149,0.005408844984891968,-0.050010821144778776,-0.2333201811355348,0.09374342409529421,-0.054178018094989504,-0.07903154958795681,0.04541142474880253,-0.007024443136135854,-0.0026759311524721355,0.0614737551493384,-0.05146437234749162,0.20680472317226892,0.05448514492086911,0.044070359352491886,0.08543505899254829,0.01764228086929638,0.04465090996062008,0.031047552358601873,0.07027328954576124,-0.03270840239554669,-0.012202044218029569,0.0065618103037707555,0.01110496969613426,0.0
RS,-0.6056350026407556,0.1558881202705646,0.4406620183812066,0.1655351784409848,-0.29393039835120666,0.14191502868860556,-0.23698399307150578,0.20411537852700917,0.24025458754786522,0.10686735467924192,0.09343078119462847,0.2351687089008006,0.03716228729435048,0.04870891621768142,-0.1364777907905414,-0.02640934477160541,-0.012659199370168192,0.07746859351000455,0.009485844031172341,0.023656512276593822,-0.0013865665578036044,0.05502493974825312,-8.875650852965333e-06,-0.064831164098797,0.05367472076913784,0.007342654953369306,0.001652173676368162,0.057984778831738644,-0.035349021811982205,-0.01068442068108137,0.0
Sal,0.8493362429126698,-0.32615403127138026,0.12920187865456084,0.16976416811941286,0.09174498219843373,-0.03044118462378697,0.12047885915825585,0.05507169950532832,-0.011744125117861163,0.16339351573128758,-0.1404802690621097,-0.009101384843263885,0.04276116685430717,-0.08021686200153207,0.003424690452788934,-0.019231188507048934,0.054070540570571576,0.12062558688582119,-0.0062421349487867105,-0.02673344499994852,0.04413060260415,0.04611956158454448,-0.05293934450502011,-0.08350536500032674,-0.03758185843136217,0.004834067941957693,-0.06222240860618529,0.01930590203639668,0.042499889380339904,-8.086602897141433e-07,0.0
CSom,0.24394624988964483,0.44056017881836806,-0.1773468293582353,0.03046259986370943,0.4086060587054766,-0.08215749631145026,-0.42754372841765814,-0.022291576786345295,0.3028355341543843,-0.29383002238102296,-0.16086864801069117,-0.08867742419704962,-0.2824359396965841,0.1643897367481959,-0.12094710594924299,0.0743803634077068,-0.030791985448857487,0.010243704322644499,-0.04093503046563638,-0.04683460378983065,0.015933547771006355,-0.016580324013466676,-0.022043402178818935,-0.01868539641246298,-0.0046978387609927065,0.037851907823204044,0.009075109873483726,0.028587658167014845,0.028285874365908865,0.0004549720686730125,0.0
AjSoc,-0.6274433279738627,0.07607192586266968,0.4261926493559941,0.08074945142243731,-0.28312426814291114,0.17716081099746525,-0.19826390488870158,0.3266995453665548,0.170304004050532,0.13476456934194883,0.03706415608160171,0.2276940620741421,-0.07946042834206157,-0.07313260358265855,0.015765340414839825,0.04778923882866728,0.034085732202017445,0.09526210814357855,-0.020129588272412777,-0.01599720857957185,-0.07238830946050341,-0.09223201532335683,0.01846000630473703,0.06532974248967069,-0.053331377203605194,0.010983448851109995,0.0011267542886061795,-0.0336389988937462,0.042182291334087234,0.008512047929276399,0.0
Pensie,0.6990774695073506,0.3100190403403563,-0.07707112662687636,0.1752233603899609,-0.22073291501936168,-0.21379314817436876,-0.28580333233565824,-0.2141899338905492,0.14356702666082682,0.05347997908583646,-0.19018472264996103,-0.033569773104234965,0.06595251517387507,0.05385998493539543,0.08544814904937971,-0.10061040186540568,0.1004978670906493,0.05491884740480125,0.10038520973482266,0.17326810877866194,-0.0684718236400624,-0.03148616058013418,0.007561632565024909,-0.014442008491950174,0.05607597446005098,-0.034716787871095146,0.031698603525777636,-0.03418937974205211,0.013101416558530971,-0.015705167728195874,0.0
