,Varianta specifica
RN,0.019264608557789442
RM,0.13273831716517415
RMI,0.0765185273505391
Emigranti,0.026074167452029062
Imigranti,0.019610675394417854
RS,0.004999445511329803
Sal,0.004984512942001751
CSom,0.00883440835496585
AjSoc,0.004999934811823703
Pensie,0.004998837442995119
PopScolara,0.0049962387440598555
PaturiUS,0.004995557123650629
Medici,0.004990553717571289
VolumeB,0.004988145323252091
SpectatoriS,0.004997683780348705
VizitatoriM,0.004997456193540639
SportiviL,0.004999053892888017
PIB,0.004999382802891805
SalariatiC,0.004999999217821904
PAgrVeg,0.004995627768917377
PAgrAnim,0.13053126987917363
ServAgr,0.020370795182995338
Silvicultura,0.06707263645700301
SupLoc,0.004999999523123799
DrumuriM,0.004996967840341093
Innoptari,0.01645850555355688
BugetVenituri,0.004999341332030616
BugetSubventii,0.004998900788140137
Apa,0.004998442417231463
Canal,0.004998615159354514
Export,0.004999952279908015
