,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
Barbati_18-24,0.23033562500161384,-0.03559353418827135,-0.426069023352204,-0.5153651644621762,0.48190147890884955,-0.30577929696555367,-0.12128378776832749,0.360134551286874,-0.16804648656701396
Barbati_25-34,0.025847108476042664,0.8233314565301402,0.40916081792192455,-0.23934407658294352,0.166086932783425,-0.09002091229376986,0.00751336639554679,0.19416641712822746,-0.09740553627065765
Barbati_35-44,-0.15886884617729638,0.6500151983360691,0.5936284679524338,0.12235850254973753,0.034067142128251925,-0.2678092183591827,0.26149324104742205,0.12786299937337395,-0.11128658468400442
Barbati_45-64,0.6840340420932965,-0.4753302087697007,-0.4849318260453705,0.05971084346916778,-0.16003290421152855,0.08837877234409848,0.05534672989756105,0.13745578897664415,-0.08753659424596721
Barbati_65_,0.14500695971314517,-0.566503683540834,-0.40340926042350156,0.18923646364419586,0.10012717675434837,0.3283400980494795,-0.3558356260994748,-0.43842688393803875,0.06621472212311663
Femei_18-24,-0.1946118764212734,-0.04968760151884689,-0.1837796243937636,-0.6397425414175122,0.46800367403837384,-0.1969848693813361,-0.059787268966269055,0.4336088703734989,-0.2271569073545422
Femei_25-34,-0.23752534501761932,0.6627257567885847,0.6080995930209041,-0.2376901929675454,0.08665091392330974,-0.14257384832948597,0.1263837368597324,0.10726824266012128,-0.14830229447502505
Femei_35-44,-0.397867898359503,0.4935405047526533,0.5895776090208004,0.031251513606759214,-0.07348551828053072,-0.2923932283204409,0.3900814607372978,0.03874669225635194,-0.029106702292240664
Femei_45-64,-0.01850378095595358,-0.7254888040280877,-0.06516059159561122,0.07574232263529102,-0.3833569022487547,0.12634257058889992,0.20848511067514303,0.1906594484209918,0.4673099265896185
Femei_65_,-0.2905885277134366,-0.33759053635438,-0.47197764207895293,0.2960428231210806,-0.11491213436839454,0.2600263421753985,-0.39433923584098113,-0.45327388789771317,0.12181359623200132
