Judet,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9
ab,0.06515783238359868,0.013957637990123187,0.024965966897063336,-0.21098923683681112,0.10771924471953022,-0.02943886910201754,-0.0664387356882151,0.029517244842045,0.2117849275293017
ag,0.05304712264269291,-0.09337912019582117,0.11285763100597314,0.3614181380514232,0.2831844816519689,0.057683913367569783,-0.016974302484314134,0.31962832748911163,0.12981583757480844
ar,0.03282026979582479,0.12179526619372369,0.0074913933129735965,-0.08744722037088636,0.06750707721541004,0.04753645431852779,0.02133743563218355,0.08008834689313198,0.0811673386816172
b,-0.2132119440596654,0.21261975799377922,0.29271022848510936,0.14597087550135385,-0.2828222855789379,-0.06059691560866439,0.13232296702105692,-0.23575004336811672,0.06620897586646465
bc,-0.08212246381065771,-0.17108078911358776,-0.009470101924139405,0.04549540363297082,-0.05402329349588539,0.012408999549809112,-0.030215271793757707,0.1265944797821742,-0.06207228388766757
bh,-0.18088732118146592,0.17168319909672805,-0.13932874127808614,-0.14813469950775976,0.10190038605901083,0.0026614558780602648,0.1734925541043867,0.1806194837961318,0.12943410825304885
bn,-0.07062160733655841,-0.008502038702993705,-0.028839583944001643,-0.3159510869422098,0.30129358983914306,0.2557704862461271,0.15468121442790803,0.02248776913978141,0.07812420663222128
br,0.07222323221682198,-0.09623433197349543,-0.05355931729659253,0.2202436321999557,-0.16471341826279637,0.09985176141037798,-0.03889585321742045,-0.04138453837920708,0.20961047735896202
bt,-0.039956567651681055,-0.23189134595176059,-0.015947393654856017,-0.07692590083488007,0.13970469716210676,-0.30294103294848607,-0.01150643484508732,-0.15392515659593584,-0.1647947738769567
bv,-0.029702433095230362,0.05175175957660544,0.2509876124272032,0.16866519980065137,0.21370322876479747,0.05084334918067277,-0.062097955047750376,-0.08466891879600465,0.26019277283160847
bz,0.08651336518773274,-0.04641064038844775,-0.07471795339347537,0.09205296094362639,0.04929637465962334,0.06744256105667455,0.02210799502385569,0.06982593921339346,0.04168789746122634
cj,0.014993907371458278,0.24392511400790493,0.3465347673491124,-0.2388242631039369,-0.006522425429255027,0.3062133330261177,-0.01974628056789701,-0.14183490464322243,-0.25941885481759464
cl,0.17436182931169636,0.1503146193942255,-0.1970933101203194,-0.16384644123704836,-0.1128533726073496,-0.014378536373850979,0.10644864639509846,-0.04245871160645188,0.07376056780572675
cs,0.14459131570867292,-0.09643109240228454,0.10043135526608113,0.14232400775314927,0.08866039329278304,0.17646123950239662,-0.30844256161238254,0.10369741712926547,-0.3498969849551735
ct,-0.03468897759941309,-0.12462388104679689,0.1949832151191317,-0.14454791933404307,-0.13008994842776736,-0.02731610335786662,0.16232953475737033,-0.1644763191794395,0.18113436063019736
cv,-0.3836115967348331,-0.10000608836902768,-0.002547833908855037,0.22279363268833252,0.1150940098685793,-0.021999318463109034,-0.052049207523415214,0.005854864081639757,0.11845459889802305
db,0.05413557195434526,0.09818624816796355,-0.08988678315097788,0.05112306660623071,0.036234272300356404,-0.05610394845045779,-0.061604677276843677,0.09525636549776798,0.2027110395956716
dj,0.02134692459694371,0.06393390027560167,-0.05452547885147984,0.04187384311412869,-0.06131916703052077,0.024781356252459603,-0.017357345579813454,-0.04277084163030553,-0.07135619900581634
gj,0.23190399136453685,-0.08414388788137502,-0.06389028540582224,0.07810749411929757,0.00649531416224574,0.028602237173640795,0.5021817279740496,0.29683475284505906,-0.24978933410178772
gl,-0.06272044798634649,-0.09228944404097743,-0.11250002124393524,0.1872942062294025,-0.020832857606460416,0.13131297132743305,0.10202368618922227,-0.018557605831172018,-0.10965489601482382
gr,0.20826916486893557,0.3775007300874321,-0.17816069771929086,0.007933449472001341,0.06984082786522627,-0.1048464188743567,-0.2854620642116996,0.11538509247813018,0.2119447144315869
hd,0.10786743603675376,-0.26000815252213677,0.08902747164788143,-0.11152845075252352,-0.46814931607278615,0.1425168729520814,-0.126603318827387,0.1335215513994757,-0.029437164557784983
hr,-0.48964458599979493,-0.07009973641774815,-0.09274251726666466,0.08251423689927931,-0.00020568036030621867,0.08997002015101593,0.15243608385661728,-0.09489629129853461,-0.05064362407030036
if,0.10736700200429314,0.30061394174507267,0.23521357977225787,0.24300819028350443,-0.05614230853745818,-0.5034837417072365,0.27077654517218014,-0.021524948279637038,-0.12354486097607954
il,0.19584653225904106,-0.03268174263972801,-0.13716818958737453,-0.06428869540189844,-0.13792807270998914,-0.003413931346880178,-0.028597950942331203,-0.09646663768595033,0.038124836815518474
is,-0.09780454022367671,0.08138794711124328,0.00959188790949416,-0.0776979185630732,0.31141796146917394,-0.14310224504664606,-0.08477270108656,0.0373151314606683,-0.20842993603544466
mh,0.01501577604646809,0.13849829129743557,-0.3078536617028963,-0.06777811168811332,-0.023072726794294018,0.09455371511020365,0.32757800404434684,-0.025029852152932082,0.014046629687521649
